제목,내용,작성자,created_at,이미지,URL
디시 ㄱㄱㅎ 교수님 족보 구해요,쪽지주세요,익명,2025-04-11T21:23:00,이미지 없음,https://everytime.kr/420883/v/376612503
반소 ㅇㅎㅈ 교수님,족보 구합니다.,익명,2025-04-11T19:41:00,이미지 없음,https://everytime.kr/420883/v/376602889
다이슨 에어랩 1세대,1세대 에어랩 컴플리트 롱 핑크 회색이에요잘 작동하고 구성품 다 있어요최신제품으로 바꾸려고 판매해요드라이기 롤빗 빗1(회색) 빗2(핑크)얇은 배럴 양방향 두꺼운 배럴 양방향 다 있습니다!쪽지 주세요,익명,2025-04-11T19:24:00,이미지 없음,https://everytime.kr/420883/v/376601262
반소 ㅇㅎㅈ교수님,족보사요,익명,2025-04-11T18:46:00,이미지 없음,https://everytime.kr/420883/v/376597869
물전개 ㅊㅅㅎ 교수님 족보,삽니다,익명,2025-04-11T17:43:00,이미지 없음,https://everytime.kr/420883/v/376592399
열물리학 족보 구합니다!,쪽지주세요!,익명,2025-04-11T16:27:00,이미지 없음,https://everytime.kr/420883/v/376585222
김시프 23 24 봄 족보 구합니다.,쪽지 주세요.,익명,2025-04-11T15:17:00,이미지 없음,https://everytime.kr/420883/v/376579260
김시프 23 24 봄 족보 구합니다,쪽지 주세요,익명,2025-04-11T15:07:00,이미지 없음,https://everytime.kr/420883/v/376578352
ㅅㅇㅅ 교수님 OS 족보삽니다,쪽지 주세용,익명,2025-04-11T15:06:00,이미지 없음,https://everytime.kr/420883/v/376578230
궁동 투룸 입주하실 분!,자세한 정보는 직방 링크 들어가서 봐주세요!두 명이서 살기 좋은 방입니다!궁동 넓은 주인세대 풀옵션입니다.채광좋은 정 남향.넓은거실 + 넓은방 + 넓은주방.대형베란다 구비되어 있습니다.1️⃣매물위치❗궁동 2️⃣매물특징❗실사진 / 풀옵션❗남향(채광No.1)❗풀옵션(더블침대.책상.에어컨.옷장2P)❗빅사이즈(넓은거실+넓은방+넓은주방)❗수납시설(x6붙박이장 / 기타수납)❗대형베란다 / 대형신발장❗주변시설(충남대대학교.카이스트)❗1인거주 + 2인거주가능3️⃣매물추천❗궁동.넓은풀옵션/도시형투룸 찾는분❗충남대/카이스트학생/유성인근대학생링크: https://sp.zigbang.com/share/villa/44379504?userNo=undefined&stamp=250411143340,익명,2025-04-11T14:33:00,이미지 없음,https://everytime.kr/420883/v/376575521
신과개 ㅇㅈㅎ 교수님 족보 삽니다,신과개 ㅇㅈㅎ 교수님 족보 삽니다,익명,2025-04-11T14:30:00,이미지 없음,https://everytime.kr/420883/v/376575274
신 os 족보 삽니다!!,꼭 쪽지 주세요!!!,익명,2025-04-11T14:19:00,이미지 없음,https://everytime.kr/420883/v/376574330
전기자기학1 ㅈㅁㅅ 교수님 23 24 족보삽니다.,쪽지주세요... ㅠㅠ,익명,2025-04-11T13:43:00,이미지 없음,https://everytime.kr/420883/v/376571444
광공개 전자과이산 족보 삽니다,광공학개론 ㄱㅅㅅ교수님전자공학을 위한 이산방법론 ㅎㅇㅅ교수님다른 교수님이어도 상관없습니다쪽지 주세요,익명,2025-04-11T11:48:00,이미지 없음,https://everytime.kr/420883/v/376562172
아날로그 전자회로 ㅂㅎㅁ교수님,24년 족보답지 삽니다 쪽지주세요,익명,2025-04-11T08:35:00,이미지 없음,https://everytime.kr/420883/v/376551511
생화공 유체역학 족보 구합니다.,쪽지 부탁드립니다.,익명,2025-04-11T02:35:00,이미지 없음,https://everytime.kr/420883/v/376545387
물전개 23 24족보 구합니다,쪽지주세요,익명,2025-04-11T00:54:00,이미지 없음,https://everytime.kr/420883/v/376537173
반소 ㅇㅎㅈ교수님 족보 삽니다,쪽지부탁드려요 감사합니다..!,익명,2025-04-11T00:30:00,이미지 없음,https://everytime.kr/420883/v/376534319
데구 족보 구합니다,"퀴즈, 기말 족보 구합니다",익명,2025-05-09T10:26:00,이미지 없음,https://everytime.kr/420883/v/379433255
illy 전용 커피 캡슐 판매합니다,"일리 전용 커피캡슐 판매합니다. 캡슐을 잘못 사서 보관해놨다가 올립니다. 빨간색 10개 정도, 갈색 25개 정도이고 빨간색은 유통기한 지났습니다.만오천원에 판매하겠습니다.쪽지주세요~",익명,2025-05-08T18:24:00,https://cf-ea.everytime.kr/attach/544/75622616/everytime-1746696275432.jpg?Expires=1746771165&Key-Pair-Id=APKAICU6XZKH23IGASFA&Signature=pLy4aB73fZveNDhNR3716hx-QzvgLuyPLKgYNuPaOSOJpqjQUQXPckfVjQk5NWJTIxfr9bop0GH8szxaB-NO05h1YSti6wNiqWJCUuZKiUOCmkoubwKxG-7~sNF0wipeVV84NFgx0-D1q0OkgMaAFVocheF1e~t8db327WnGH5n6FpBfWGbKj9u2W3liJs22wdOoQ8mZdhjRP6CyPYbVtwBOv3BGifo43MlpV2OHYx5odlAmY3Uzf8uy8EbdQf1BjpnXwreLOUUH4ZOU5lAnq1g3jQ19bY1mrSOSIfhCg-diWBGHOMKaQxFv4cHyh1ZQfBgpZOftQKiPSQowncj8WA__,https://everytime.kr/420883/v/379380821
통공 렉노,교수님 상관없이 구합니다.,익명,2025-05-05T16:48:00,이미지 없음,https://everytime.kr/420883/v/379113027
[금일 체크인] 대천해수욕장 호텔 숙박권 팝니다,대천해수욕장 근처 데이원스테이 호텔 디럭스프리미엄(2인) 숙박권 팝니다. 금일(5/5)자 숙박권이고 15시부터 체크인 가능합니다. 138000원에 구매하였는데 7만원에 양도하겠습니다!,익명,2025-05-05T12:10:00,이미지 없음,https://everytime.kr/420883/v/379096372
"경제게 렉노, 시험 팝니다",쪽지 주세요,익명,2025-05-04T20:22:00,이미지 없음,https://everytime.kr/420883/v/379057644
24 고전역학 기출 구해요,ㄱㅁㅅ교수님 고전역학 24년도 기출 구합니다. 사례하겠습니다.,익명,2025-04-11T00:10:00,이미지 없음,https://everytime.kr/420883/v/376532007
